what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1403540930342
os,sysinfo,,,"win32",1403540930350
arch,sysinfo,,,"x86",1403540930350
ws,sysinfo,,,"win32",1403540930350
locale,sysinfo,,,"en_US",1403540930350
processors,sysinfo,,,"2",1403540930350
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403540930350
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1403540930350
java.specification.name,sysinfo,,,"Java Platform API Specification",1403540930350
java.specification.vendor,sysinfo,,,"Oracle Corporation",1403540930350
java.specification.version,sysinfo,,,"1.7",1403540930350
java.vendor,sysinfo,,,"Oracle Corporation",1403540930350
java.version,sysinfo,,,"1.7.0_55",1403540930350
java.vm.info,sysinfo,,,"mixed mode, sharing",1403540930350
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1403540930350
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403540930350
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1403540930350
java.vm.specification.version,sysinfo,,,"1.7",1403540930350
java.vm.vendor,sysinfo,,,"Oracle Corporation",1403540930350
java.vm.version,sysinfo,,,"24.55-b03",1403540930350
started,bundle,org.jboss.tools.common,3.3.0.v20111208-2036-H34-M5,"org.jboss.tools.common",1403540930725
started,bundle,org.jboss.tools.common.model,3.3.0.v20111208-2036-H34-M5,"org.jboss.tools.common.model",1403540930778
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1403540930831
started,bundle,org.eclipse.wst.server.core,1.1.303.v20110816_1717,"org.eclipse.wst.server.core",1403540930932
started,bundle,org.jboss.ide.eclipse.as.core,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.core",1403540930956
started,bundle,org.tigris.subversion.subclipse.ui,1.0.5,"org.tigris.subversion.subclipse.ui",1403540930982
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1403540931028
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1403540931032
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1403540931034
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.1.v20120715-0243-H142-Final,"org.jboss.ide.eclipse.as.ui",1403540931063
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1403540931157
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1403540931431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403540933857
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1403540935248
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1403540935260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403540982113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403540986815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403540988067
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1403540988899
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1403540990231
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1403540990231
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1403540990231
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1403540990232
